# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 29 15:13:30 EDT 2020 [seed=1603998786178]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
317000	-108416.16233102411	-22412.786263471196	-86003.37606755292	1.0200285123369275	2018.979971487663	16.17871430694457	2.7294399949163646	4.418127808394127	5.4743711654454215	0.2815796419085888	0.17653270338216048	0.18232813165890027	0.3595595230503508	0.009787195768608684	0.029252314427681635	0.06982902170367222	0.011417847119260322	1.8532135735925994	0.008193494867050883	-86003.37606755292	-19931.075800346975	-2478.0626717116897
318000	-108408.57253149188	-22410.78764422506	-85997.78488726683	1.021160471314235	2018.9788395286857	16.29294690326858	2.814791431611695	4.894161816474673	5.764636393105875	0.28251520866107116	0.1755971366296781	0.18232813165890027	0.3595595230503508	0.009787195768608684	0.029022366341933153	0.06897249895116309	0.011426707145996787	1.842167293436948	0.006774476918630135	-85997.78488726683	-19931.075800346975	-2475.4919980138657
319000	-108357.0008979096	-22413.65478116745	-85943.34611674215	1.0186625248614878	2018.9813374751386	16.266832029290388	2.778540866899139	4.6890191937197345	5.415528048906591	0.28251520866107116	0.1755971366296781	0.18232813165890027	0.3595595230503508	0.014354893384774824	0.02940227765883243	0.07227358636910199	0.011497888163302756	1.8835063353040171	0.005349978578985709	-85943.34611674215	-19931.075800346975	-2478.6367532736635
320000	-108309.439877113	-22421.259110141946	-85888.18076697107	1.0163707117992313	2018.9836292882007	16.554110665239808	2.854315115877985	4.5199692563489435	5.416670194556899	0.2834271463152419	0.17332249412153453	0.18369083651287307	0.3595595230503508	0.027063729204492744	0.02773440967890189	0.0633611648587259	0.011140476657571617	1.7730755931199023	0.0070899826842259215	-85888.18076697107	-19931.075800346975	-2486.4413575469525
321000	-108269.67865487437	-22419.505516489564	-85850.17313838481	1.0214609685065692	2018.9785390314935	16.557487894468768	2.755238445356577	4.909700514691979	5.514426532549311	0.2834271463152419	0.17312876622609127	0.18369083651287307	0.3597532509457941	0.014598665018720005	0.027631673385764038	0.06422837553269664	0.011028221094008443	1.7948083513475561	0.004718405561827115	-85850.17313838481	-19931.075800346975	-2484.333372576341
322000	-108291.58140722066	-22415.660106102736	-85875.92130111792	1.0057562934974276	2018.9942437065026	16.45076319737564	2.7161932819933505	3.9418121064705893	5.373134298058677	0.28357862795124195	0.17255603608670333	0.18411208501626097	0.3597532509457941	0.029581383784478624	0.02797202655152287	0.06376898046952964	0.01137421356839857	1.7644859922103002	0.007679774331485626	-85875.92130111792	-19931.075800346975	-2481.467022922074
323000	-108274.8078562487	-22413.148654759945	-85861.65920148876	1.0144040614032372	2018.9855959385968	16.345029207250626	2.7853155191047354	5.051577327244095	5.433842385175144	0.28357862795124195	0.17255603608670333	0.18249528052652395	0.3613700554355311	0.020363927131443818	0.027767068717856523	0.06332462795394773	0.011363850430380273	1.766035753163339	0.007853040594731705	-85861.65920148876	-19931.075800346975	-2477.8310301093884
324000	-108226.1583120723	-22417.020766971826	-85809.13754510047	1.019437842631897	2018.980562157368	16.400304719719337	2.8010610063768766	4.9603719512116555	5.063981023209492	0.28357862795124195	0.17319898489997065	0.18249528052652395	0.36072710662226376	0.007828216082187058	0.02720925102342007	0.06109910086878437	0.011182447961495446	1.7438382687566167	0.014975625420175928	-85809.13754510047	-19931.075800346975	-2481.9400597626322
325000	-108228.3429854133	-22421.90873669498	-85806.43424871832	1.0126893868456834	2018.9873106131542	16.415494321948408	2.9002240268305473	4.634626677614107	5.697918931780375	0.2850314608712091	0.17319898489997065	0.18249528052652395	0.3592742737022966	0.007828216082187058	0.027493468708079064	0.06747917393791095	0.010957467991669086	1.8721269068316013	0.011880297741053841	-85806.43424871832	-19931.075800346975	-2486.9206689677453
326000	-108169.08271905317	-22415.857821632442	-85753.22489742073	1.003917380946945	2018.9960826190531	16.388717251156308	2.6862737745944325	4.361160553657976	5.797964892560104	0.2792108504419247	0.18069088502220262	0.1808239908335764	0.3592742737022966	0.0240720379933549	0.028031958698700035	0.06627481972212966	0.01129417701719573	1.7747553598115253	0.019947702853011104	-85753.22489742073	-19931.075800346975	-2481.1466272871744
327000	-108145.12467197125	-22419.155202768474	-85725.96946920277	1.005441228530851	2018.9945587714692	16.41721888741131	2.808756915544371	5.232985605226462	5.392582645295529	0.28000918914070083	0.1778614386600061	0.1808239908335764	0.361305381365717	0.02985934231897968	0.02869725420530214	0.06796002890861234	0.011589051299522231	1.7723351258096849	0.01496639464420725	-85725.96946920277	-19931.075800346975	-2483.594326806354
328000	-108125.0269748892	-22422.41252722048	-85702.61444766872	1.0061569199474527	2018.9938430800526	16.408863122987338	2.7287686971513354	4.953595152453234	5.392582645295529	0.28050707848228845	0.17503355069242918	0.18032610149198877	0.3641332693332939	0.02985934231897968	0.027867232575400278	0.06391031025192942	0.011408064288262524	1.7294428483655648	0.009655572368952377	-85702.61444766872	-19931.075800346975	-2487.20036229877
329000	-108094.7306786105	-22427.061613452595	-85667.66906515791	1.0093540617581298	2018.9906459382419	16.428247435909324	2.7287686971513354	4.76676593216367	5.392582645295529	0.2791859239545247	0.17540548108299167	0.1827815940942673	0.3626270008682166	0.02985934231897968	0.02662137869252624	0.05993998947357639	0.01090135856318694	1.703379918315643	0.0097142639758465	-85667.66906515791	-19931.075800346975	-2492.091574507388
330000	-108079.48469368272	-22429.321768204856	-85650.16292547787	1.008391869618076	2018.991608130382	16.40346058611579	2.837252229617588	5.579235311729374	5.392582645295529	0.2791859239545247	0.17743021773728232	0.1827815940942673	0.36060226421392594	0.02707253940902467	0.026662644372793785	0.06057121404143852	0.010898079178680594	1.7175306251931963	0.01908269777355499	-85650.16292547787	-19931.075800346975	-2493.502407779449
331000	-108061.40041291928	-22423.69643403466	-85637.70397888462	1.0101074282086295	2018.9898925717914	16.372756617458215	2.623952913881846	4.844824842829215	5.735588990730627	0.2830460660853226	0.17327996330793152	0.1827815940942673	0.3608923765124788	0.02738037664288946	0.025073864897075072	0.054318552450146156	0.010421955629455328	1.654526720927385	0.018875737823475038	-85637.70397888462	-19931.075800346975	-2488.6744755782106
332000	-108027.85868337925	-22416.54853072306	-85611.3101526562	1.0106534786643542	2018.9893465213356	16.384713731262593	2.8039217221163097	4.888194341310736	5.712645761293235	0.2830460660853226	0.17514744349097475	0.18091411391122408	0.3608923765124788	0.008298073014862859	0.02738421667622475	0.06287678388050709	0.011063416310942266	1.7290692759243507	0.014904859723559996	-85611.3101526562	-19931.075800346975	-2481.353414403868
333000	-108026.84705664137	-22421.035412773912	-85605.81164386746	1.0125855468262468	2018.9874144531736	16.422454712677407	2.909609710553878	4.6446755072162675	5.10070725416759	0.2830460660853226	0.17514744349097475	0.18091411391122408	0.3608923765124788	0.041544682862385496	0.02844167139549104	0.06469505416395298	0.011523578090107052	1.7163262602629563	0.0148996171593646	-85605.81164386746	-19931.075800346975	-2486.101723829696
334000	-108009.74530108424	-22430.87531113532	-85578.86998994891	1.0160055743316716	2018.9839944256682	16.49747356463957	2.735319549041752	3.281171809296392	5.313665172928447	0.2830460660853226	0.17514744349097475	0.18091411391122408	0.3608923765124788	0.041544682862385496	0.027291232766596236	0.06485312566595347	0.010841846627647965	1.7813031450086976	0.022346432683420528	-85578.86998994891	-19931.075800346975	-2497.3482781079756
335000	-107971.21715054344	-22420.75529125711	-85550.46185928633	1.015601893642221	2018.9843981063577	16.491106711484388	2.7367749444733085	4.791379486913779	4.974871177089856	0.2830460660853226	0.17143228932800803	0.1846292680741908	0.3608923765124788	0.002938234841715318	0.026834697105148974	0.06210541187252163	0.010737291916870055	1.7403044206302791	0.02193067649379732	-85550.46185928633	-19931.075800346975	-2485.91167473107
336000	-107957.66030697747	-22415.433951822328	-85542.22635515514	1.014521824609421	2018.9854781753907	16.429596998519454	2.7468317659870074	4.720196680651966	5.501224684828768	0.2844917449991215	0.17200042961214276	0.18261544887625722	0.3608923765124788	0.007660491001410503	0.02610983624339018	0.059534051580150724	0.010582478683837439	1.7210837997802728	0.01889859067357669	-85542.22635515514	-19931.075800346975	-2480.538792390186
337000	-107911.74274639568	-22424.54067085855	-85487.20207553713	1.0113762004679616	2018.988623799532	16.62861403169922	2.71520441922721	4.730503243390247	5.1426404931050875	0.28252755895804393	0.17396461565322036	0.18261544887625722	0.3608923765124788	0.0036578055827080768	0.026641079944365268	0.05925188147360376	0.01089197245459342	1.6877875050860403	0.02371098941854692	-85487.20207553713	-19931.075800346975	-2489.7339183244735
338000	-107895.73057323502	-22427.163426018935	-85468.56714721609	1.0128426483349997	2018.987157351665	16.64719170620073	2.7636214730377926	4.183634301806288	5.492996364529269	0.2811524231754157	0.17377721032074775	0.18261544887625722	0.36245491762757964	0.037599980707753354	0.026287508481439688	0.05971940012009219	0.010749001675081225	1.7163297010131966	0.02229545215420925	-85468.56714721609	-19931.075800346975	-2492.7350202156754
339000	-107876.71172868577	-22428.327526161716	-85448.38420252404	1.0222785987444754	2018.9777214012556	16.669875516518076	2.7541670104281266	4.781805405906936	5.390927434731493	0.28094064604309826	0.1717863775275378	0.18481805880178462	0.36245491762757964	0.015024763812764278	0.026169813453381197	0.05694708076938524	0.0108414546473107	1.6589113655288201	0.02723737915407828	-85448.38420252404	-19931.075800346975	-2493.3892221701185
340000	-107861.5078251958	-22426.801494378888	-85434.70633081692	1.0115432020729558	2018.988456797927	16.46935015259344	2.6808686354209126	3.552022099642638	4.9741089004683845	0.28525359993928673	0.17064591356758854	0.18330879925415583	0.36079168723896926	0.0093718652596432	0.025971920347538854	0.05905488371744648	0.010638348367173327	1.7152493002148557	0.023831540541707615	-85434.70633081692	-19931.075800346975	-2493.2448444055062
341000	-107847.30300688006	-22420.816497318167	-85426.48650956189	1.023261872164317	2018.9767381278357	16.451217932136334	2.6683440313030085	4.555444051156832	5.356500116734629	0.28214518401805194	0.17064591356758854	0.18330879925415583	0.36390010316020405	0.0093718652596432	0.026061265751403606	0.05840153060403566	0.010777315136640677	1.691952344663414	0.033730298728887664	-85426.48650956189	-19931.075800346975	-2486.1553394529956
342000	-107842.2554680486	-22416.98057549086	-85425.27489255775	1.0165775578567517	2018.9834224421431	16.473411953636575	2.7715146414788676	4.409360595768196	5.49462305676053	0.27688207886437366	0.17639872790317093	0.18281909007225172	0.36390010316020405	0.007153702382579924	0.027699836548141798	0.06433065460773074	0.011287924221755351	1.738655916179278	0.030956250114860875	-85425.27489255775	-19931.075800346975	-2482.320109853605
343000	-107838.76000092644	-22423.371174723776	-85415.38882620267	1.0115789709946155	2018.9884210290054	16.450697443424406	2.805455830721562	4.509402779821338	4.995316487923724	0.2786398924145577	0.17605833625406692	0.18106127652206763	0.3642404948093081	0.02326326694316787	0.02694635000948917	0.061047829132049924	0.01109847532653491	1.71007900028876	0.026696643537210355	-85415.38882620267	-19931.075800346975	-2488.737523481695
344000	-107800.3420483718	-22422.3657211374	-85377.97632723438	1.0095417901763297	2018.9904582098236	16.393301929122238	2.7988501158607364	3.908839135042421	5.132521830350632	0.28196751104806217	0.17609861001860708	0.18102100275752747	0.36091287617580364	0.02326326694316787	0.026773096720152732	0.060893171292099896	0.011029639228165041	1.7092999816893417	0.024356717088562675	-85377.97632723438	-19931.075800346975	-2488.3034356027797
345000	-107787.93391488856	-22424.645744648693	-85363.28817023987	1.006602196888887	2018.993397803111	16.39065800119148	2.7074750509437093	4.678000007129926	5.412483422596732	0.2835663339542383	0.17449978711243097	0.18102100275752747	0.36091287617580364	0.02326326694316787	0.02675259681067706	0.06039106763636314	0.011104884248378412	1.6992195266809154	0.02623981073672593	-85363.28817023987	-19931.075800346975	-2489.774087743236
346000	-107731.49930759976	-22422.785925078573	-85308.7133825212	1.010052464434384	2018.9899475355655	16.344781654178522	2.6076707669771606	5.162459828943735	5.326463049416209	0.27804037505525564	0.1775339783185618	0.18417435704496768	0.3602512895812153	0.013475379386859856	0.027519683537298927	0.06689169227906294	0.011035436553993873	1.7995260046323636	0.02750576107248423	-85308.7133825212	-19931.075800346975	-2487.4635943021044
347000	-107710.46975598653	-22420.34944082388	-85290.12031516265	1.0066949311542799	2018.9933050688458	16.316674444593847	2.813023543852823	5.093420497651705	5.326463049416209	0.27975286655349785	0.1775339783185618	0.18417435704496768	0.35853879808297306	0.006747764980946117	0.027930159844628082	0.06968800249345714	0.011035707157156766	1.8392996843433569	0.027241561110812	-85290.12031516265	-19931.075800346975	-2485.0112257104784
348000	-107707.50378795728	-22428.830223934427	-85278.67356402284	1.0061451393757805	2018.9938548606242	16.33057162015839	2.8182471637068343	4.859882328278079	5.326463049416209	0.2785264338330095	0.1765447151484486	0.18417435704496768	0.3607544939735746	0.03915669320310434	0.027033832213372862	0.06205826367384822	0.01100755487405658	1.7231482989359912	0.03086482227171655	-85278.67356402284	-19931.075800346975	-2493.712747188306
349000	-107660.07765432444	-22425.62752841672	-85234.45012590772	1.0080437364275663	2018.9919562635725	16.291783527991	2.8747767202711967	4.995132083739543	5.229244373072808	0.2818079733595063	0.1765447151484486	0.18089281751847092	0.3607544939735746	0.013950610544349618	0.027869927804806207	0.06542710405143194	0.011277166577319931	1.761784983888299	0.02774065045233206	-85234.45012590772	-19931.075800346975	-2490.392498711142
350000	-107653.76353008248	-22433.743100022508	-85220.02043005997	1.0103906440057038	2018.9896093559944	16.37206808785335	2.7673139861121903	5.076858530861358	5.0523835995427175	0.27993821682624653	0.17841447168170838	0.18089281751847092	0.3607544939735746	0.005093366733597504	0.02723439021361793	0.06495064897778534	0.011010556925817414	1.7877545335669225	0.024041796865041105	-85220.02043005997	-19931.075800346975	-2498.554179833633
351000	-107598.6917049254	-22428.25000310394	-85170.44170182146	1.0060838776976613	2018.9939161223024	16.35255791559119	2.8491887113073178	4.619099939313604	5.473006005847278	0.27993821682624653	0.17841447168170838	0.18089281751847092	0.3607544939735746	0.024198390063628505	0.02713032977464661	0.06007322871780011	0.011384964319052065	1.6827197211901568	0.023647251222427532	-85170.44170182146	-19931.075800346975	-2493.355919199468
352000	-107611.89275925551	-22426.843385293694	-85185.04937396181	1.002344265940481	2018.9976557340594	16.271098736847946	2.6948601960798224	4.953962215006758	5.3032789425412385	0.2786065085669999	0.17661051088641397	0.1840284865730119	0.3607544939735746	0.024198390063628505	0.027475495903946476	0.06263466759372556	0.01131093802252012	1.720977428673453	0.027789935926483524	-85185.04937396181	-19931.075800346975	-2491.695513352119
353000	-107606.38833836855	-22426.449563812683	-85179.93877455586	1.0053066131783075	2018.9946933868216	16.242699620849336	2.787412561344169	5.092765569443529	5.246303403563743	0.2786065085669999	0.17661051088641397	0.18327209484391344	0.3615108857026731	0.0449142268517327	0.027030399977876263	0.062167060809638075	0.011141780068034186	1.7326953563841254	0.02402200351576919	-85179.93877455586	-19931.075800346975	-2491.1197791980667
354000	-107604.59806923407	-22419.84827031281	-85184.74979892126	1.0045488839038461	2018.995451116096	16.184131731967916	2.8355574415415283	5.186206242231114	5.259259683537522	0.2786065085669999	0.17453313775971596	0.18534946797061144	0.3615108857026731	0.0449142268517327	0.027596978520529936	0.06231375344158268	0.01140908122076217	1.7110037868755343	0.027417187463720585	-85184.74979892126	-19931.075800346975	-2484.384209007562
355000	-107531.09287768306	-22415.607735112717	-85115.48514257034	1.0043077456016785	2018.9956922543984	16.18501566616646	2.807474178024743	4.918718444766155	4.957101309726723	0.2829625223866541	0.17453313775971596	0.17976155872432517	0.3627427811293052	0.04231797915433101	0.027281864392839826	0.064573811855597	0.010917479467982242	1.7745499156972315	0.02552317514935037	-85115.48514257034	-19931.075800346975	-2480.5134138289172
356000	-107526.10978483688	-22418.55014441936	-85107.55964041752	1.0108531090942967	2018.9891468909057	16.191408396700837	2.8495612495453813	5.172111440826982	5.2385204393531275	0.2774009530972003	0.17682271327188923	0.18492518387300527	0.36085114975790566	0.016663518303571236	0.028177074875957064	0.06745905618924318	0.011241594000600154	1.7963134516618853	0.027009744641039533	-85107.55964041752	-19931.075800346975	-2483.1221622271537
357000	-107503.76310946651	-22410.932087387468	-85092.83102207904	1.0044706032550021	2018.995529396745	16.098843681396446	2.731165953978448	4.8184616645155565	5.103916919861759	0.28123089477480595	0.17682271327188923	0.18492518387300527	0.3570212080803	0.01230938759244413	0.027608927427812454	0.06737975527373158	0.010966261792697215	1.8198986259856527	0.027867540426873255	-85092.83102207904	-19931.075800346975	-2475.964953823622
358000	-107468.76363651961	-22413.339124775728	-85055.42451174388	1.0043821855474269	2018.9956178144525	16.130819893414913	2.791872822193209	5.385097713332681	5.259870513378992	0.28123089477480595	0.17682271327188923	0.18492518387300527	0.3570212080803	0.011542826562024069	0.028468026852067334	0.06594934009912606	0.011723472255519026	1.743225367719929	0.03709256618955485	-85055.42451174388	-19931.075800346975	-2477.7176018692307
359000	-107487.38502275595	-22418.398517131543	-85068.9865056244	1.0034134730019109	2018.996586526998	16.160261814907383	2.8097146249006997	5.291981952499516	5.189625802903574	0.28060577749508864	0.17744783055160654	0.18492518387300527	0.3570212080803	0.007426256784776509	0.0272565858712706	0.06241091962898953	0.011276357281442011	1.7229951646358355	0.03261124938701898	-85068.9865056244	-19931.075800346975	-2482.9430490992895
360000	-107475.319255963	-22411.912815925934	-85063.40644003707	1.0055836335777597	2018.9944163664222	16.123493083836816	2.782238823173226	4.888435398008609	5.189625802903574	0.28039453776040774	0.1761629142480963	0.18492518387300527	0.35851736411849117	0.021487198086079573	0.026607364292787945	0.06382596155689511	0.010746978751340968	1.786789794610084	0.030493809883360465	-85063.40644003707	-19931.075800346975	-2476.8607389832528
361000	-107477.14864486776	-22424.796698132872	-85052.35194673488	1.0107311408188955	2018.989268859181	16.23635750054815	2.796681755278108	4.470965175623852	5.189625802903574	0.2853677910780618	0.1761629142480963	0.1799519305553512	0.35851736411849117	0.021487198086079573	0.026714719186416394	0.06246557823229769	0.010976954890183549	1.7518646546084085	0.03193478993682595	-85052.35194673488	-19931.075800346975	-2490.157723268266
362000	-107460.93125496582	-22421.614249913313	-85039.31700505251	1.0088985837281352	2018.991101416272	16.33400939957904	2.769034980851738	4.351322840456762	5.088962025262786	0.28486417364026684	0.1766665316858913	0.1799519305553512	0.35851736411849117	0.018068140166603436	0.025968901591763294	0.05906064271704101	0.010757605171660526	1.7158231284250647	0.031185983547295258	-85039.31700505251	-19931.075800346975	-2487.1762057470614
363000	-107413.58399406266	-22428.94513861959	-84984.63885544307	1.006593419628742	2018.9934065803714	16.356766542916038	2.9132840023448634	4.776436120578578	5.5941018883904245	0.2865430287830994	0.1766665316858913	0.17827307541251863	0.35851736411849117	0.03493184188495337	0.02681099401028877	0.06284525619782418	0.010969231199423009	1.7512885133168523	0.020189770688585077	-84984.63885544307	-19931.075800346975	-2493.821006742384
364000	-107388.63633848577	-22443.182364416858	-84945.4539740689	1.021337886972156	2018.978662113028	16.48509400205484	2.8236620100493974	5.264782404519487	4.971900394026766	0.2865430287830994	0.1766665316858913	0.178224563136624	0.3585658763943858	0.00702851035359447	0.027312272164558154	0.06454614103514927	0.0111937654743493	1.7577971551553933	0.02791847413895443	-84945.4539740689	-19931.075800346975	-2507.8027020259074
365000	-107347.30458905404	-22446.654045275503	-84900.65054377854	1.011141764402133	2018.988858235598	16.46696099358146	2.669821534066846	4.551406719111063	5.542899923138805	0.2865430287830994	0.1766665316858913	0.178224563136624	0.3585658763943858	0.003138526648940229	0.026692315050690387	0.06301179399815779	0.010982242553443503	1.7545778270471812	0.029122835119141634	-84900.65054377854	-19931.075800346975	-2511.9232894203556
366000	-107308.63250999863	-22453.79418159031	-84854.83832840832	1.0044394164949844	2018.995560583505	16.5172513838683	2.9885042431504245	4.949297283006455	5.268546731628658	0.28259847232540597	0.1766665316858913	0.178224563136624	0.36251043285207923	0.004829444674496064	0.024516304612299217	0.056991954162094245	0.01012867168981142	1.6501892942461525	0.03493429230921212	-84854.83832840832	-19931.075800346975	-2518.7191814202474
367000	-107299.7650132692	-22451.331807375158	-84848.43320589405	1.0086694047740237	2018.991330595226	16.574441925974618	2.764165896190599	5.213016642824355	5.268546731628658	0.28259847232540597	0.17340576035208172	0.18148533447043358	0.36251043285207923	0.01386414292582592	0.02679351488938541	0.06285567689772369	0.010941478166245244	1.652415867201042	0.04158130455911046	-84848.43320589405	-19931.075800346975	-2515.953633278421
368000	-107277.64671155589	-22447.341705036262	-84830.30500651963	1.0033545434637992	2018.9966454565363	16.50074097037502	2.8201845425384207	4.849776342180105	5.441181284010586	0.28259847232540597	0.17340576035208172	0.18148533447043358	0.36251043285207923	0.042144868070728925	0.027165387140778877	0.0663081075539981	0.010922392171060244	1.6993031890745736	0.033254975759654054	-84830.30500651963	-19931.075800346975	-2512.1802781355764
369000	-107276.34145632686	-22434.914421969766	-84841.4270343571	1.0056685321023944	2018.9943314678976	16.328275196236508	2.742219501089105	5.631147897125835	5.507414322975053	0.2856634316051287	0.17340576035208172	0.18148533447043358	0.3594454735723565	0.02532299892091159	0.027160044694416755	0.06479987812188075	0.011049384996517307	1.668047836570943	0.03187256392381636	-84841.4270343571	-19931.075800346975	-2499.019924014923
370000	-107275.03009215275	-22436.193783855135	-84838.83630829761	1.0060203458261716	2018.993979654174	16.320335788674164	2.685446414285444	6.036381576276202	5.329658467954572	0.282854241053052	0.1763643854505415	0.18019653553824866	0.3605848379581583	0.016285219454164546	0.025670855902922722	0.060878338714553414	0.010413881991366836	1.6655988291381139	0.03617242119000953	-84838.83630829761	-19931.075800346975	-2500.0445745257052
371000	-107253.37951889518	-22426.97199031631	-84826.40752857887	1.0050073935962163	2018.9949926064037	16.25852653658262	2.862447683740296	5.962064804367523	5.360302531479376	0.2806007155162746	0.17768434944445236	0.18227616337976155	0.35943877165951205	0.007040378584213723	0.027595689288857233	0.06998990289298972	0.010948465714792887	1.7471677101409822	0.04196805506756473	-84826.40752857887	-19931.075800346975	-2490.748451275119
372000	-107239.36854747911	-22424.71165128212	-84814.65689619699	1.0168422517351792	2018.9831577482648	16.221562378241714	2.862447683740296	6.141177063677592	5.360302531479376	0.2822892840473865	0.17768434944445236	0.18227616337976155	0.3577502031284001	0.007040378584213723	0.026037128391037254	0.06061213671953523	0.010765445068093207	1.6402620489149404	0.03690076776683489	-84814.65689619699	-19931.075800346975	-2488.3913655884135
373000	-107218.6682262408	-22423.197719725966	-84795.47050651483	1.0073188159102981	2018.9926811840896	16.201190404078925	2.8840432951467614	6.234737922434399	5.189271377043838	0.2822892840473865	0.17768434944445236	0.18227616337976155	0.3577502031284001	0.034826944525386365	0.026376944240991095	0.06027553883092854	0.011053998768981783	1.613362019453928	0.034894931924945014	-84795.47050651483	-19931.075800346975	-2486.755889578931
374000	-107223.63745919758	-22425.37085701505	-84798.26660218253	1.0192764129350693	2018.9807235870649	16.215932184343224	2.894156988714067	5.23304450352122	5.189271377043838	0.2822892840473865	0.17732836372918906	0.18263214909502484	0.3577502031284001	0.044017357339813136	0.025907034833523256	0.0617349356054071	0.010687530929856644	1.6628719871505229	0.027948530017892975	-84798.26660218253	-19931.075800346975	-2489.921134437034
